szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Jeszenszky Árpád,"Oltás, szemzés, dugványozás",,,2-001363,2877273,,,,    .  .  ,1958,???
Magyar László,Móra Ferenc élete,,,2-001365,2860893,,,,    .  .  ,1966,???
Mezei András,A csodatevõ,,,2-001366,2861562,,,,    .  .  ,1966,???
"Golding, William",A legyek ura,,,2-001370,2857046,,,,    .  .  ,1966,???
Radnóti Miklós,Radnóti Miklós összes versei és mûfordításai,,,2-001376,2863535,,,,    .  .  ,1965,???
"Kriveljov, Ioszif Aronovics",Könyv a Bibliáról,,,2-001377,2874043,,,,    .  .  ,É.N.,???
Kodolányi János,Az égõ csipkebokor,,,2-001378,2860152,,,,    .  .  ,1965,???
"Werfel, Franz",A Musza Dag negyven napja,,,2-001386/01,2869124,,,,    .  .  ,1966,???
"Werfel, Franz",A Musza Dag negyven napja,,,2-001386/02,2869070,,,,    .  .  ,1966,???
Déry Tibor,A kiközösítõ,,,2-001387,2854915,,,,    .  .  ,1966,???
Mikszáth Kálmán,A beszélõ köntös : A gavallérok,,,2-001388,2861722,,,,    .  .  ,1966,???
Láng György,A Tamás templom karnagya : Johann Sebastian Bach életének regénye,,,2-001393,2860596,,,,    .  .  ,1964,???
Láng György,A Tamás templom karnagya : Johann Sebastian Bach életének regénye,,,2-001394,2860398,,,,    .  .  ,1964,???
Baranyi Ferenc,Az a merészség,,,2-001400,2851068,,,,    .  .  ,1966,???
"Cervantes, Saavedra Miguel de",Az elmés nemes Don Quijote de la Mancha,,,2-001402,2848280,,,,    .  .  ,1966,???
Takács Tibor,Thököly ifjúsága,,,2-001406,2867809,,,,    .  .  ,1966,???
"Diderot, Denis",Az apáca,,,2-001412,2853635,,,,    .  .  ,1966,???
