szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
"Hemingway, Ernest",Az öreg halász és a tenger,,,2-001417,2857718,,,,    .  .  ,1967,???
Jókai Mór,Akik kétszer halnak meg,,,2-001419/01,2858623,,,,    .  .  ,1966,???
Jókai Mór,Akik kétszer halnak meg,,,2-001419/02,2858678,,,,    .  .  ,1966,???
Bokoli Gyuláné,Csillagminták - szalagminták,,,2-001422,2877891,,,,    .  .  ,1967,???
Arany János,Toldi,,,2-001423,2855875,,,,    .  .  ,1967,???
Till Géza,Opera kézikönyv,,,2-001429,2879352,,,,    .  .  ,1967,???
Kormos István,Szerelmes ezüst kalendárium : Háromszázhatvanöt költõ háromszázhatvanöt verse,,,2-001431,2867120,,,,    .  .  ,1967,???
Fehér Klára,Ma éjjel ne aludj ; Partra szállt egy tengerész,,,2-001433,2853680,,,,    .  .  ,1967,???
"Shakespeare, William",Rómeó és Júlia,,,2-001434,2865614,,,9639523399,    .  .  ,1967,???
Barát Endre,Lidérc,,,2-001438,2851075,,,,    .  .  ,1965,???
Illés Béla,Aranyliba : Összegyûjtött elbeszélések. 1920-1964,,,2-001441,2857947,,,,    .  .  ,1965,???
Karinthy Frigyes,Így írtok ti,,,2-001446/01,2859194,,,,    .  .  ,1963,???
Karinthy Frigyes,Így írtok ti,,,2-001446/02,2859248,,,,    .  .  ,1963,???
"Rostand, Edmond",Cyrano de Bergerac,,,2-001449,2865454,,,,    .  .  ,1963,???
"Solohov, Mihail Aleksandroviè",Feltört ugar,,,2-001450,2866192,,,,    .  .  ,1963,???
Tersánszky J. Jenõ,A szerelmes csóka és más elbeszélések,,,2-001451,2867649,,,,    .  .  ,1965,???
Zelk Zoltán,Zuzmara a rózsafán,,,2-001452,2868851,,,,    .  .  ,1964,???
Hollós Korvin Lajos,Komédiások,,,2-001459,2857879,,,,    .  .  ,1965,???
Bárány Tamás,Ágytól-asztaltól,,,2-001460,2851112,,,,    .  .  ,1967,???
Szabó Miklós,Orosz-magyar iskolai szótár ; magyar - orosz iskolai szótár,,,2-001463,2883465,,,,    .  .  ,1967,???
"Curtius, Rufus Q.",A makedón Nagy Sándor története,,,2-001466,2881881,,,,    .  .  ,1967,???
Ortutay Gyula,Kis magyar néprajz,,,2-001471,2876306,,,,    .  .  ,1966,???
Unger Mátyás,Magyarország története,,,2-001481,2884622,,,,    .  .  ,1965,???
"Reed, John","Tíz nap, amely megrengette a világot",,,2-001482,2884714,,,,    .  .  ,1967,???
Darvas Gábor,Bevezetõ a zene világába : A zenei hang,,,2-001504/01,2878706,,,,    .  .  ,1965,???
Darvas Gábor,Bevezetõ a zene világába : A zenekar hangszerei,,,2-001504/02,2878751,,,,    .  .  ,1965,???
Gyenes István,Akeringõtõl a mambóig,,,2-001508,2879031,,,,    .  .  ,1958,???
Baracskai Gáborné,Új horgolások,,,2-001509,2877839,,,,    .  .  ,1967,???
Ladányi Mihály,Utánad kószálok,,,2-001510,2860503,,,,    .  .  ,1965,???
Darvas Gábor,Zenei ABC,,,2-001511,2883724,,,,    .  .  ,1963,???
,Toll és ecset : Klasszikus magyar költõk versei,,,2-001514,2867878,,,,    .  .  ,1965,???
Fazekas László,A megvallott gyermekkor,,,2-001519,2853666,,,,    .  .  ,1965,???
Fodor Gábor,A boldogság udvara,,,2-001526,2856612,,,,    .  .  ,1962,???
Bokoli Gyuláné,Új szalagminták,,,2-001528,2877846,,,,    .  .  ,1961,???
Földes Péter,Hotel Drezda,,,2-001529,2856773,,,,    .  .  ,1965,???
Ormay Imre,Megbukott zenekritikák,,,2-001533,2879109,,,,    .  .  ,1963,???
Martinkó András,Elbeszélések a világirodalomból,,,2-001537,2853406,,,,    .  .  ,1965,???
Balázs György,"István király, az államalapító",,,2-001544,2851365,,,,    .  .  ,1968,???
Dalmáth Ferenc,Krapekok,,,2-001545,2854564,,,,    .  .  ,1966,???
Szilvási Lajos,Ködlámpa,,,2-001551,2866826,,,,    .  .  ,1967,???
Bisztray Gyula,Jókedvû magyar irodalom,,,2-001555,2858265,,,,    .  .  ,1968,???
Nemes György,Háló,,,2-001557,2864662,,,,    .  .  ,1967,???
Nemeskürty István,Ez történt Mohács után : Tudósítás a magyar történelem tizenöt esztendejérõl 1526-1541,,,2-001558,2884585,,,,    .  .  ,1966,???
Passuth László,Lagunák,,,2-001560,2863122,,,,    .  .  ,1967,???
Rákosy Gergely,Elmarasztalva : Brigitte Bardot,,,2-001561,2863733,,,,    .  .  ,1968,???
Sényi Imre,A filmtrükkök birodalmában,,,2-001567,2879499,,,,    .  .  ,1967,???
Hegedûs Géza,"A kentaur és az angyal : Esszék a világirodalom, a dramaturgia és az esztétika körébõl",,,2-001568,2857862,,,,    .  .  ,1968,???
Szakonyi Károly,Porcelán baba,,,2-001572,2867090,,,,    .  .  ,1967,???
Passuth László,Kutatóárok,,,2-001575,2863177,,,,    .  .  ,1966,???
Trencsényi Waldapfel Imre,Mitológia,,,2-001577,2874456,,,,    .  .  ,1968,???
Kulin Sándor,A tejtermelés és szarvasmarhaháztartás üzemgazdasági kérdédei,,,2-001588,2877310,,,,    .  .  ,1968,???
"Jakovlev, Jurij",Érclovas a város felett,,,2-001589,2858753,,,,    .  .  ,1968,???
"James, Henry",A csavar fordul egyet,,,2-001593,2858807,,,,    .  .  ,1969,???
"Stendhal, Henri Beyle",Henry Brulard élete,,,2-001597,2866475,,,,    .  .  ,1969,???
Tamkó Sirató Károly,A három ûrsziget,,,2-001599,2867816,,,,    .  .  ,1969,???
Fekete Sándor,"Petõfi, a vándorszínész",,,2-001601,2880716,,,,    .  .  ,1969,???
,Vidám délután : Mûsorfüzet 5-8-ik osztályosoknak,,,2-001604,2870281,,,,    .  .  ,1969,???
Jankovich Oszkár,Egy- és kétnyári virágok,,,2-001606,2877365,,,,    .  .  ,1969,???
Schweitzer Pál,Ember az embertelenségben : A háborús évek Ady-verseinek szimbolikus motívum-csoportjai,,,2-001609,2880549,,,,    .  .  ,1969,???
Köpeczi Béla,A huszadik század külföldi írói,,,2-001611,2882758,,,,    .  .  ,1968,???
Kenyeres Ágnes,Magyar életrajzi lexikon : A-K,,,2-001612,2882697,,,,    .  .  ,1967,???
Pernesz Gyula,"""Friss szelek fújnak...""",,,2-001614,2874531,,,,    .  .  ,1969,???
Lengyel Alfréd,Gyõr megye történetének írásos emlékei (1001-1918),,,2-001617,2869865,,,,    .  .  ,1965,???
"Mailer, Norman",Meztelenek és holtak,,,2-001629,2861005,,,,    .  .  ,1969,???
Száva István,A Menlo-parki varázsló : Edison életregénye,,,2-001630,2867113,,,,    .  .  ,1969,???
Madách Imre,Az ember tragédiája,,,2-001632,2861098,,,,    .  .  ,1969,???
Madách Imre,Az ember tragédiája,,,2-001633,2861142,,,,    .  .  ,1969,???
Heltai Jenõ,Álmokháza,,,2-001638,2857619,,,,    .  .  ,1969,???
Fehér Klára,"Perben, haragban",,,2-001639,2858203,,,,    .  .  ,1967,???
Karinthy Frigyes,Capillária : Gulliver hatodik útja,,,2-001641,2859040,,,,    .  .  ,1968,???
Mesterházi Lajos,Férfikor,,,2-001643,2861517,,,,    .  .  ,1967,???
Németh László,Irgalom,,,2-001644/01,2864310,,,,    .  .  ,1968,???
Németh László,Irgalom,,,2-001644/02,2864365,,,,    .  .  ,1968,???
Passuth László,A harmadik udvarmester,,,2-001645,2863221,,,,    .  .  ,1968,???
Szabó Magda,A Danaida,,,2-001648,2867052,,,,    .  .  ,1968,???
Tabi László,Tücsök és bogár,,,2-001649,2866710,,,,    .  .  ,1967,???
Tamási Áron,Ábel a rengetegben,,,2-001650,2867748,,,,    .  .  ,1969,???
Ady Endre,Ady Endre összes versei,,,2-001652,2856124,,,,    .  .  ,1967,???
Babits Mihály,Jónás könyve,,,2-001653,2855677,,,,    .  .  ,É.N.,???
"Faulkner, William",Megszületik augusztusban,,,2-001655,2853017,,,,    .  .  ,1965,???
"Mann, Thomas","Doktor Faustus : Adrian Leverkühn, német zeneszerzõ élete...",,,2-001658,2861340,,,,    .  .  ,1967,???
Németh László,Emberi színjáték,,,2-001659/01,2864518,,,,    .  .  ,1966,???
Németh László,Emberi színjáték,,,2-001659/02,2864464,,,,    .  .  ,1966,???
Voigt Vilmos,A három özvegy miniszter : Koreai népmesék,,,2-001664,2868769,,,,    .  .  ,1966,???
Barabás Tibor,Mozart párizsi utazása : Beethoven : Chopin : Három portré,,,2-001667,2851129,,,,    .  .  ,1966,???
Lukács Ernõné,Feladatok és megoldások,,,2-001669,2876160,,,,    .  .  ,1969,???
Betlen Katalin,"Ki kicsoda ? : Életrajzi lexikon magyar és külföldi személyiségekrõl, kortársainkról",,,2-001670,2882642,,,,    .  .  ,1969,???
Kenyeres Ágnes,Magyar életrajzi lexikon : L-Z,,,2-001672,2882741,,,,    .  .  ,1969,???
"Cervantes, Saavedra Miguel de",Az elmés nemes Don Quijote de la Mancha,,,2-001674,2853697,,,,    .  .  ,1965,???
Péterfy Jenõ,Péterfy Jenõ válogatott mûvei,,,2-001679,2863313,,,,    .  .  ,1962,???
Szántó György,A javíthatatlan javító,,,2-001684,2866697,,,,    .  .  ,1961,???
Szabolcsi Bence,Zenei lexikon,,,2-001687,2883625,,,,    .  .  ,1965,???
Szabolcsi Bence,Zenei lexikon,,,2-001688,2883823,,,,    .  .  ,1965,???
Szabolcsi Bence,Zenei lexikon,,,2-001689,2883878,,,,    .  .  ,1965,???
"McCarthy, Mary",Vietnami jelentés,,,2-001701,2881089,,,,    .  .  ,1969,???
Berényi György,Levél a Paradicsomból,,,2-001716,2852744,,,,    .  .  ,1968,???
"Fagyejev, Alekszandr",Tizenkilencen,,,2-001717,2853109,,,,    .  .  ,1967,???
Goda Gábor,Ördögûzés : Összegyûjtött elbeszélések,,,2-001718/01,2857305,,,,    .  .  ,1963,???
Goda Gábor,Ördögûzés : Összegyûjtött elbeszélések,,,2-001718/02,2857350,,,,    .  .  ,1963,???
Antal Gábor,Egy szál gyertya,,,2-001720,2855967,,,,    .  .  ,1969,???
Hámori Ottó,Ráktérítõ,,,2-001721,2857374,,,,    .  .  ,1967,???
"Goethe, Johann Wolfgang von",Faust,,,2-001723,2857459,,,,    .  .  ,1967,???
Berde Mária,Romuald és Adriána,,,2-001724,2852782,,,,    .  .  ,1969,???
Földes Mihály,A parancs,,,2-001725,2856827,,,,    .  .  ,1969,???
Bertha Bulcsu,A nyár utolsó napja,,,2-001727,2852683,,,,    .  .  ,1968,???
"Grass, Günther",Macska és egér,,,2-001729,2856933,,,,    .  .  ,1968,???
"Jens, Walter",Elfelejtett arcok,,,2-001730,2858692,,,,    .  .  ,1964,???
"Calinescu, George",Szegény Ioanido,,,2-001731,2852089,,,,    .  .  ,1968,???
Köpeczi Béla,A huszadik század külföldi írói,,,2-001733,2882802,,,,    .  .  ,1968,???
Euripidész,Bakkhánsnõk,,,2-001735,2853192,,,,    .  .  ,É.N.,???
"Gorkij, Makszim",Az Artamonovok,,,2-001737,2857299,,,,    .  .  ,1967,???
"Andersen Nexö, Martin","Ditte, az ember lánya",,,2-001740,2862859,,,,    .  .  ,1971,???
"Carpentier, Alejo",Földi királyság,,,2-001743,2848365,,,,    .  .  ,1971,???
"Eaubonne, Francoise d'",A kamasz költõ,,,2-001745,2853444,,,,    .  .  ,1971,???
Gárdonyi Géza,Ki-ki a párjával ; Az öreg tekintetes,,,2-001749,2856902,,,,    .  .  ,1971,???
Tóth Eszter,Apu,,,2-001751,2867977,,,,    .  .  ,1971,???
"Gary, Romain",Lady L.,,,2-001757,2856353,,,,    .  .  ,1971,???
"West, Nathanael",Sáskajárás,,,2-001763,2868677,,,,    .  .  ,1971,???
"Vargas Llosa, Mario",A város és a kutyák,,,2-001764,2868493,,,,    .  .  ,1971,???
Demeter Imre,Köszönöm a tüzet...: Tímár József élete,,,2-001766,2879345,,,,    .  .  ,1971,???
"Manzoni, Alessandro",A jegyesek,,,2-001769,2860985,,,,    .  .  ,1971,???
Sárosi Bálint,Cigányzene...,,,2-001770,2879208,,,,    .  .  ,1971,???
"Villon, François",Villon összes versei,,,2-001771,2868660,,,,    .  .  ,1971,???
"Puskin, Alekszandr Szergejevics",Jevgenyij Anyegin,,,2-001772,2863504,,,,    .  .  ,1971,???
"Tuglas, Friedebert",A kis Illimar,,,2-001779,2868189,,,,    .  .  ,1971,???
"Styron, William",Feküdj le sötétben,,,2-001786,2866574,,,,    .  .  ,1971,???
Molnár Zoltán,Búcsú a Jóistentõl,,,2-001787,2862408,,,,    .  .  ,1971,???
"Fallaci, Oriana",Ha maghal a Nap,,,2-001791,2853055,,,,    .  .  ,1971,???
Déry Tibor,Ítélet nincs,,,2-001793,2854922,,,,    .  .  ,1971,???
"Bates, Herbert Ernest",Jó széllel francia partra,,,2-001796,2852973,,,,    .  .  ,1971,???
"Bezimenszkij, Lev Alekszandrovics",Hitler halála,,,2-001799,2884035,,,,    .  .  ,1971,???
Bogdánfi Sándor,Hallgatni nem arany,,,2-001806,2852416,,,,    .  .  ,1971,???
"Jerome, Jerome K.",Három ember egy csónakban (nem számítván a kutyát),,,2-001807,2858593,,,,    .  .  ,1972,???
Erdõdy János,Sasoknál magasabban : Hunyadi Mátyás élete,,,2-001808,2853222,,,,    .  .  ,1971,???
Gyárfás Endre,Nyugtalan egriek,,,2-001809,2857060,,,,    .  .  ,1971,???
"Blandiana, Ana",Homokóra : Ötven vers,,,2-001810,2852553,,,,    .  .  ,1971,???
"Werfel, Franz",A nápolyi testvérek,,,2-001811,2869025,,,,    .  .  ,1972,???
Kardos G. György,Hová tûntek a katonák?,,,2-001812,2859453,,,,    .  .  ,1971,???
"Èapek, Karel",A szenvedelmes kertész,,,2-001813,2851983,,,,    .  .  ,1972,???
"France, Anatole",Jeanne d'Arc élete,,,2-001815,2856421,,,,    .  .  ,1972,???
"Šotola, Jiøí",Jézustársaság,,,2-001816,2866444,,,,    .  .  ,1971,???
"Tolsztoj, Lev Nyikolaevics",Feltámadás,,,2-001820,2867571,,,,    .  .  ,1971,???
Zsigray Julianna,Csendességi fogadalom,,,2-001821,2869568,,,,    .  .  ,1971,???
"Canetti, Elias",Marrákes hangjai,,,2-001826,2881065,,,,    .  .  ,1972,???
Bárány Tamás,"Város, esti fényben",,,2-001827,2851082,,,,    .  .  ,1972,???
"Bulgakov, Mihail Afanas'eviè",A Mester és Margarita,,,2-001829,2851914,,,,    .  .  ,1972,???
Bibó Lajos,Anyám,,,2-001830,2852645,,,,    .  .  ,1972,???
Juhász Ferenc,A mindenség szerelme : Titkok kapuja,,,2-001831,2858562,,,,    .  .  ,1972,???
Vörösmarty Mihály,Csongor és Tünde,,,2-001832,2869063,,,,    .  .  ,1972,???
Fekete István,Tüskevár,,,2-001834,2853826,,,,    .  .  ,1972,???
Antal Zoltán,A magyar sport évkönyve,,,2-001836,2883618,,,,    .  .  ,1972,???
"Borges, Jorge Luis",Körkörös romok,,,2-001837,2852409,,,,    .  .  ,1972,???
Vörösmarty Mihály,Csongor és Tünde,,,2-001839,2869117,,,,    .  .  ,1972,???
Hárs Ernõ,Lépcsõfokon,,,2-001843,2857275,,,,    .  .  ,1972,???
Kõmüves Imre,"Vészben, viharban...: Vági István élete",,,2-001846,2859538,,,,    .  .  ,1972,???
"Gorkij, Makszim",Az anya,,,2-001847,2864716,,,,    .  .  ,1972,???
Zoltán Péter,A képzelet varázslója : Jules Verne élete,,,2-001848,2869360,,,,    .  .  ,1972,???
Sigmond István,Valaki csenget,,,2-001849,2866055,,,,    .  .  ,1971,???
,"Sammy Davis, Jr",,,2-001850,2854724,,,,    .  .  ,1972,???
"Kadare, Ismail",A halott hadsereg tábornoka,,,2-001852,2858760,,,,    .  .  ,1972,???
Kahána Mózes,A boldog élet könyve,,,2-001855,2858890,,,,    .  .  ,1972,???
Pethõ Tibor,Amerika közelrõl,,,2-001862,2885100,,,,    .  .  ,1972,???
Katona Tamás,Emlékvirágzás : Amerikai szerelmes versek,,,2-001863,2853345,,,,    .  .  ,1972,???
Illés Béla,Ég a Tisza,,,2-001865,2857701,,,,    .  .  ,1969,???
"Kubátová, Marie",Az ifjú Werther szédelgései,,,2-001866,2860206,,,,    .  .  ,1972,???
Tatay Sándor,Puskák és galambok,,,2-001867,2867434,,,,    .  .  ,1972,???
Hunyady József,Aranyhorda,,,2-001868,2858098,,,,    .  .  ,1972,???
Móra Ferenc,Rab ember fiai,,,2-001869,2862293,,,,    .  .  ,1972,???
"Porter, Katherine Anne",Fakó ló fakó lovasa : Elbeszélések és kisregények,,,2-001870,2863801,,,,    .  .  ,1972,???
Janikovszky Éva,Aranyesõ,,,2-001876,2858555,,,,    .  .  ,1972,???
Horthy Miklós,Horthy Miklós titkos iratai,,,2-001877,2884493,,,,    .  .  ,1972,???
Balázs Dénes,Hátizsákkal Alaszkától Tûzföldig,,,2-001878,2881263,,,,    .  .  ,1972,???
"Èapek, Karel",Barangolások Európában,,,2-001880,2881041,,,,    .  .  ,1972,???
József Attila,A Dunánál,,,2-001881,2858319,,,,    .  .  ,1972,???
Lajta Kálmán,Legalább a lámpa égjen ; Vadházasság,,,2-001882,2860558,,,,    .  .  ,1972,???
"Kiš, Danilo",Korai bánat : Gyermekek és érzékenyek számára,,,2-001883,2859460,,,,    .  .  ,1971,???
Mikszáth Kálmán,A beszélõ köntös : A gavallérok,,,2-001884,2861876,,,,    .  .  ,1972,???
Czobor Ágnes,Rembrandt és köre,,,2-001892,2878737,,,,    .  .  ,1973,???
"Krüger, Renate",Az avignoni tánc,,,2-001894,2878591,,,,    .  .  ,1973,???
Bajomi Lázár Endre,Anatole France világa,,,2-001897,2879963,,,,    .  .  ,1973,???
"Pausztovszkij, Konsztantyin","Az Aranyrózsa : Vallomások az írói munkához, emlékezések",,,2-001898,2863269,,,,    .  .  ,1973,???
Dániel Anna,Hiányzik Szecsõ,,,2-001900,2854601,,,,    .  .  ,1973,???
Dániel Anna,Hiányzik Szecsõ,,,2-001901,2854625,,,,    .  .  ,1973,???
Eötvös József,A karthausi,,,2-001902,2853260,,,,    .  .  ,1973,???
Jókai Mór,A három királyok csillaga ; A szegénység útja,,,2-001905,2858388,,,,    .  .  ,1973,???
Jókai Mór,Szabadság a hó alatt vagy a Zöld könyv,,,2-001907,2858630,,,,    .  .  ,1973,???
Mészöly Miklós,Fekete gólya,,,2-001914,2870700,,,,    .  .  ,1973,???
Mikszáth Kálmán,Az eladó birtok,,,2-001915,2862026,,,,    .  .  ,1973,???
Müller Péter,Részeg józanok,,,2-001917,2864488,,,,    .  .  ,1973,???
,Pünkösdi királyság,,,2-001924,2863795,,,,    .  .  ,1972,???
"Sefner, Vagyim Szergejevics",A bánat nõvére,,,2-001926,2865522,,,,    .  .  ,1973,???
"Verne, Jules",Doktor Ox teóriája,,,2-001928,2868417,,,,    .  .  ,1973,???
Gyurkovics Tibor,Üveggolyó,,,2-001930,2871394,,,,    .  .  ,1973,???
Lajta Edit,Mûvészeti kislexikon,,,2-001934,2864808,,,,    .  .  ,1973,???
"Markov, Walter",Világtörténelmi kisenciklopédia,,,2-001935,2882260,,,,    .  .  ,1973,???
Lator László,A világirodalom legszebb versei,,,2-001936/01,2868608,,,,    .  .  ,1973,???
Lator László,A világirodalom legszebb versei,,,2-001936/02,2868554,,,,    .  .  ,1973,???
Albert Zsuzsa,A csönd margójára,,,2-001937,2856056,,,,    .  .  ,1974,???
Balázs Anna,Tettének oka ismeretlen,,,2-001940,2851372,,,9631500012,    .  .  ,1974,???
Balázs Anna,Tettének oka ismeretlen,,,2-001941,2851389,,,9631500012,    .  .  ,1974,???
Barabás Tibor,Három portré : Mozart párizsi utazása ; Beethoven ; Chopin,,,2-001942,2851167,,,,    .  .  ,1974,???
Bisztray  Ádám,"Elfelejtett tél, farkasokkal",,,2-001943,2852515,,,,    .  .  ,1974,???
Bisztray  Ádám,"Elfelejtett tél, farkasokkal",,,2-001944,2852522,,,,    .  .  ,1974,???
Bolgár György,A másodperc rései,,,2-001945,2852393,,,,    .  .  ,1974,???
Hidas Antal,Egy erõs topolya,,,2-001947,2857978,,,,    .  .  ,1974,???
Jókai Mór,Rab Ráby,,,2-001948,2858739,,,,    .  .  ,1970,???
Lázár Ervin,Buddha szomorú,,,2-001950,2860336,,,963150011X,    .  .  ,1973,???
Moldova György,Magányos pavilon,,,2-001951,2862262,,,,    .  .  ,1974,???
Móricz Zsigmond,Az isten háta mögött ; Árvácska,,,2-001952,2864709,,,9631500543,    .  .  ,1974,???
"Puskin, Alekszandr Szergejevics",A pikk dáma és más elbeszélések,,,2-001954,2864044,,,9632070658,    .  .  ,1974,???
"Schharten, Carel Theodoor",Giorgione,,,2-001955,2865676,,,9631327213,    .  .  ,1974,???
"Tornius, Valerian",Wolfgang Amadeus : Mozart életregénye,,,2-001956,2867663,,,9633300010,    .  .  ,1974,???
"Ziergiebel, Herbert",A világûr foglyai,,,2-001957,2868950,,,9632110064,    .  .  ,1974,???
"Gage, Nicholas",A maffia nem egyformán fizet,,,2-001959,2864815,,,963090053X,    .  .  ,1974,???
Paul Ilona,Keresztszemes hímzésminták,,,2-001960,2878294,,,9632230132,    .  .  ,1974,???
Köpeczi Béla,A francia irodalom a huszadik században,,,2-001962/01,2879864,,,963280001X,    .  .  ,1974,???
Köpeczi Béla,A francia irodalom a huszadik században,,,2-001962/02,2879918,,,963280001X,    .  .  ,1974,???
"Hughes, Richard",Szélvihar Jamaicában,,,2-001966,2857848,,,9631500462,    .  .  ,1974,???
Illés Béla,Kárpáti rapszódia,,,2-001968,2857800,,,,    .  .  ,1974,???
Román György,A fekete hegyek lakói,,,2-001975,2863665,,,,    .  .  ,1974,???
Ruffy Péter,Úttalan utakon,,,2-001977,2865898,,,9631500217,    .  .  ,1974,???
Tabi László,Férjek és férfiak,,,2-001979,2866819,,,,    .  .  ,1974,???
Vajthó László,Tanárok,,,2-001981,2868196,,,9631500187,    .  .  ,1974,???
Vasadi Péter,Jelentés Babylonból,,,2-001982,2868066,,,9631500330,    .  .  ,1974,???
Szentpál Mária,"Gyermektáncok : Ritmikai gyakorlatok, etüdök, játékok, magyar néptáncok .....",,,2-001984,2879581,,,,    .  .  ,1973,???
Fehér Klára,Bezzeg az én idõmben,,,2-001989,2853673,,,963110009X,    .  .  ,1974,???
"Mann, Thomas",A varázshegy,,,2-001993,2861449,,,9630704110,    .  .  ,1974,???
"Rousselot, Jean",Faust elkárhozása : Berlioz szenvedélyes élete,,,2-001994,2865997,,,9632800486,    .  .  ,1974,???
Tabéry Géza,A Frimont-palota,,,2-001995,2866864,,,,    .  .  ,1974,???
Erdõdy János,Velencei karnevál,,,2-001999,2853215,,,9632800745,    .  .  ,1974,???
"Lawson, John",Eljöhetnél hozzám,,,2-002003,2872230,,,9631100812,    .  .  ,1974,???
"Nerval, Gérard De",Sylvie,,,2-002004,2864167,,,9632074254,    .  .  ,1974,???
Volly István,Nyitnikék : Népi játékok : Mûsorfüzet 5-8. osztályosoknak,,,2-002006,2870342,,,,    .  .  ,1974,???
Jókai Mór,A jövõ század regénye,,,2-002017,2858234,,,9630502089,    .  .  ,1981,???
Keszi Imre,A végtelen dallam : Wagner életregénye,,,2-002020,2859118,,,9633300754,    .  .  ,1975,???
Kovai Lõrinc,Halhatatlanok hegyén,,,2-002021,2859781,,,9632700589,    .  .  ,1974,???
Lugossy Gyula,Széthullások ; A nyaralás ; A félálom ; A zongorista,,,2-002023,2860626,,,9631503143,    .  .  ,1975,???
"Maupassant, Guy de",Histoire Corse : Korzikai történet,,,2-002024,2860916,,,9630701502,    .  .  ,1975,???
"Maupassant, Guy de",Histoire Corse : Korzikai történet,,,2-002025,2860961,,,9630701502,    .  .  ,1975,???
"Maupassant, Guy de",Histoire Corse : Korzikai történet,,,2-002026,2861272,,,9630701502,    .  .  ,1975,???
Mocsár Gábor,Sziklából víz ; Szerencsés flótás,,,2-002027,2862224,,,9631503844,    .  .  ,1975,???
Pintér Lajos,Fehéringes folyók,,,2-002029,2863115,,,9632110749,    .  .  ,1975,???
