szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Sebõk Zsigmond,"Mackó úr utazásai : Mackó úr a Bakonyban, az Alföldön és a tengeren",2-003475,2870885,9634228062,    .  .  ,1989,???,könyv,???
"Sempé, Raymond",A kis Nicolas,2-003476,2857541,9631140636,    .  .  ,1985,???,könyv,???
Szabó Lõrinc,Húz a liba papucsot,2-003477,2871660,9631139824,    .  .  ,1987,???,könyv,???
Szalai Borbála,"Csipkebokor, csipkeág : Válogatott gyermekversek",2-003478,2871844,,    .  .  ,1986,???,könyv,???
Szepesi Attila,A bohóc seregélyek,2-003480,2871820,9631132749,    .  .  ,1985,???,könyv,???
Sajdik Ferenc,Hát (m)ilyenek a macskák ?,2-003481,2870915,963115288X,    .  .  ,1987,???,könyv,???
Szûcs Sándor,Madárkeresõ királyfiak,2-003482,2871639,9631133281,    .  .  ,1984,???,könyv,???
Tandori Dezsõ,Medvék minden mennyiségben,2-003484,2870175,9631132943,    .  .  ,1984,???,könyv,???
"Tanská, Nataša",Puff és Muff,2-003485,2870120,,    .  .  ,1983,???,könyv,???
Tarbay Ede,A mozgólépcsõ vándorai,2-003486,2867687,9631135918,    .  .  ,1984,???,könyv,???
Tatay Sándor,Vulkán ; A szerelem szõnyege,2-003487,2867335,9631526623,    .  .  ,1984,???,könyv,???
Tatay Sándor,Bujdosásunk története,2-003488,2867588,9631139905,    .  .  ,1985,???,könyv,???
Téglásy Imre,Az áruló nagyúr,2-003489,2867441,9631153592,    .  .  ,1987,???,könyv,???
Teknõs Péter,A vasfejû,2-003490,2867915,9631138909,    .  .  ,1985,???,könyv,???
Tõke Péter,A kocka hatalma,2-003491,2868370,9631165876,    .  .  ,1990,???,könyv,???
"Thorvall, Kerstin",Pótpapa,2-003493,2867427,9631153010,    .  .  ,1986,???,könyv,???
Thury Zsuzsa,Angéla : Egy zalai nyár története,2-003494,2867373,9631164470,    .  .  ,1989,???,könyv,???
Tordon Ákos,Karácsonyi postahivatal,2-003495,2872674,9631124312,    .  .  ,1984,???,könyv,???
Tõke Péter,Hanyistók,2-003496,2868424,9635002882,    .  .  ,1984,???,könyv,???
Tõke Péter,Afrikai nyomozás,2-003497,2868479,9631163830,    .  .  ,1989,???,könyv,???
Tutsek Anna,Cilike búcsúja,2-003499,2867984,9637407642,    .  .  ,1990,???,könyv,???
